status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
PASSED LOWER,Missouri,HJR 73,Proposes a constitutional amendment that establishes provisions relating to reproductive health care,"Ed Lewis (R),Brian Seitz (R),Michael Davis (R),+7 sponsors","FISCAL REVIEW, CHILDREN AND FAMILIES, FISCAL OVERSIGHT, FAMILIES, SENIORS AND HEALTH, RULES - LEGISLATIVE","2025 REGULAR SESSION
LATEST ACTION: MAY 30, 2025","MAY 30, 2025",state-mo-2025-hjr73
PASSED,Oklahoma,HB 1224,Health care; minor self-consent to health services; granting certain protections to parent or legal guardian related to medical records; effective date.,"Kevin West (R),Paul Rosino (R)","HEALTH AND HUMAN SERVICES, RULES, PUBLIC HEALTH, HEALTH AND HUMAN SERVICES OVERSIGHT","2025 REGULAR SESSION
LATEST ACTION: MAY 30, 2025","MAY 30, 2025",state-ok-2025-hb1224
INTRODUCED,Pennsylvania,HB 1513,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in computer offenses, providing for liability for Internet publishers and distributors of material harmful to minors.","Jill Cooper (R),Johanny Cepeda-Freytiz (D),Jamie Flick (R),+18 sponsors",COMMUNICATIONS AND TECHNOLOGY,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 29, 2025","MAY 29, 2025",state-pa-2025_2026-hb1513
PASSED,Michigan,HB 4066,Education: athletics; single-sex sports teams; require. Amends 1976 PA 451 (MCL 380.1 - 380.1852) by adding sec. 1290.,"Jason Woolford (R),Brian BeGole (R),Tim Kelly (R),+27 sponsors","GOVERNMENT OPERATIONS, GOVERNMENT OPERATIONS","2025-2026 REGULAR SESSION
LATEST ACTION: MAY 29, 2025","MAY 29, 2025",state-mi-2025_2026-hb4066
BECAME LAW,Texas,SB 1257,Relating to required health benefit plan coverage for gender transition adverse effects and reversals.,"Bryan Hughes (R),Jeff Leach (R),Kevin Sparks (R),+2 sponsors","HEALTH & HUMAN SERVICES, INSURANCE","89TH LEGISLATURE (2025)
LATEST ACTION: MAY 24, 2025","MAY 24, 2025",state-tx-89r-sb1257
PASSED UPPER,Montana,SB 299,Revise laws related to enhancing transparency in education,John Fuller (R),"EDUCATION AND CULTURAL RESOURCES, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: MAY 23, 2025","MAY 23, 2025",state-mt-2025-sb299
INTRODUCED,Montana,SB 114,Provide for display of Ten Commandments in public schools,Bob Phalen (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 23, 2025","MAY 23, 2025",state-mt-2025-sb114
INTRODUCED,Montana,LC 2044,Require a sex assigned at birth bathroom requirement in state departments and buildings,,(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: MAY 22, 2025","MAY 22, 2025",state-mt-2025-lc2044
BECAME LAW,Alabama,SB 101,"Consent to medical treatment; age at which minor may consent to medical treatment revised, exceptions further provided for",Larry Stutts (R),CHILDREN AND YOUTH HEALTH,"2025 REGULAR SESSION
LATEST ACTION: MAY 22, 2025","MAY 22, 2025",state-al-2025rs-sb101
INTRODUCED,Montana,HB 754,Revise laws related to child abuse and neglect,Lukas Schubert (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 20, 2025","MAY 20, 2025",state-mt-2025-hb754
INTRODUCED,Montana,HB 753,Require human sexuality instruction in public schools to include image of D&E abortion at certain gestational age,Lukas Schubert (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 20, 2025","MAY 20, 2025",state-mt-2025-hb753
INTRODUCED,Montana,HB 730,Revise parenting laws involving the best interest of a child who is transitioning genders,Lukas Schubert (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 20, 2025","MAY 20, 2025",state-mt-2025-hb730
INTRODUCED,Montana,HB 675,Revise laws related to hypersexualized shows,Caleb Hinkle (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 20, 2025","MAY 20, 2025",state-mt-2025-hb675
INTRODUCED,Rhode Island,SB 305,AN ACT RELATING TO HEALTH AND SAFETY -- MEDICAL ETHICS DEFENSE ACT,Elaine Morgan (R),JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MAY 20, 2025","MAY 20, 2025",state-ri-2025-sb305
BECAME LAW,Montana,HB 682,Generally revise laws regarding gender transition treatment,Greg Kmetz (R),"JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MAY 19, 2025","MAY 19, 2025",state-mt-2025-hb682
INTRODUCED,Missouri,HJR 63,Proposes a constitutional amendment establishing provisions relating to reproductive health care,"Ben Baker (R),David Casteel (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hjr63
INTRODUCED,Missouri,HJR 47,Proposes a constitutional amendment establishing provisions relating to reproductive health care,"Ed Lewis (R),John Simmons (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hjr47
INTRODUCED,Missouri,HB 76,"Establishes the ""Defining SEX Act""","Cathy Loy (R),Brian Seitz (R),Jamie Ray Gragg (R),+1 sponsor",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb76
INTRODUCED,Missouri,HB 722,Modifies provisions relating to sexually oriented businesses,Mazzie Christensen (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb722
INTRODUCED,Missouri,HB 691,Creates a requirement that users must provide government-issued identification prior to viewing pornographic materials provided by commercial entities on the internet,"Mazzie Christensen (R),Mitch Boggs (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb691
INTRODUCED,Missouri,HB 542,Creates provisions relating to unlawful discrimination in places of public accommodation,Justin Sparks (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb542
INTRODUCED,Missouri,HB 462,Requires schools to adopt school policies governing materials that are obscene or harmful to minors,Mazzie Christensen (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb462
INTRODUCED,Missouri,HB 461,Requires instruction on human sexuality and development in schools,"Mazzie Christensen (R),Cathy Loy (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb461
INTRODUCED,Missouri,HB 429,"Requires school districts to provide ""period products"" at no cost in middle schools and high schools and charter schools and repeals provisions prohibiting abortion services providers from providing instruction on human sexuality or sexually transmitted diseases","Wick Thomas (D),Jeremy Dean (D),Lilly Fuchs (D)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb429
INTRODUCED,Missouri,HB 38,Enacts provisions relating to the use of identifying pronouns by school employees and independent contractors,"Hardy Billington (R),Jamie Ray Gragg (R)",EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb38
INTRODUCED,Missouri,HB 157,Modifies provisions relating to gender designations on state-issued identity documents,Justin Sparks (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb157
INTRODUCED,Missouri,HB 156,Modifies provisions relating to the biological definition of male and female,Justin Sparks (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb156
INTRODUCED,Missouri,HB 1275,Repeals provisions relating to gender transition procedures,Wick Thomas (D),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb1275
INTRODUCED,Missouri,HB 1053,Modifies provisions relating to the biological definition of male and female,Jamie Ray Gragg (R),EMERGING ISSUES,"2025 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-mo-2025-hb1053
SIGNED BY GOVERNOR,Tennessee,SB 937,"Education - As enacted, prohibits a public school, LEA, or teacher, employee, or contractor of a public school or LEA from requiring a student, teacher, employee, or contractor of the public school or LEA to provide the individual's preferred pronouns; makes related revisions. - Amends TCA Title 4; Title 8; Title 9, Chapter 8; Title 29, Chapter 20 and Title 49.",Paul Rose (R),"EDUCATION, CALENDAR","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-tn-114-sb937
INTRODUCED,Tennessee,HB 1270,"Education - As enacted, prohibits a public school, LEA, or teacher, employee, or contractor of a public school or LEA from requiring a student, teacher, employee, or contractor of the public school or LEA to provide the individual's preferred pronouns; makes related revisions. - Amends TCA Title 4; Title 8; Title 9, Chapter 8; Title 29, Chapter 20 and Title 49.",Mark Cochran (R),"FINANCE, WAYS AND MEANS, FINANCE, WAYS AND MEANS SUBCOMMITTEE, EDUCATION ADMINISTRATION SUBCOMMITTEE, EDUCATION","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-tn-114-hb1270
PASSED UPPER,Iowa,SF 473,A bill for an act relating to certain sincerely held religious or moral beliefs of child foster care providers and prospective adoptive parents.,COMMITTEE ON HEALTH AND HUMAN SERVICES,JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 15, 2025","MAY 15, 2025",state-ia-2025_2026-sf473
INTRODUCED,Ohio,HB 262,Designate Natural Family Month,"Beth Lear (R),Josh Williams (R),Thomas Hall (R),+25 sponsors",COMMUNITY REVITALIZATION,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MAY 14, 2025","MAY 14, 2025",state-oh-136-hb262
INTRODUCED,Texas,SB 451,"Relating to the purchase, adoption, and use of instructional materials by public schools.","Mayes Middleton (R),Donna Campbell (R),Adam Hinojosa (R),+3 sponsors",EDUCATION K-16,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 14, 2025","MAY 14, 2025",state-tx-89r-sb451
INTRODUCED,Texas,HB 370,Relating to eligibility of certain events under the Events Trust Fund,"Valoree Swanson (R),Carrie Isaac (R),Cody Harris (R),+22 sponsors","CULTURE, RECREATION & TOURISM","89TH LEGISLATURE (2025)
LATEST ACTION: MAY 14, 2025","MAY 14, 2025",state-tx-89r-hb370
BECAME LAW,Montana,SB 218,Provide for private right of action for injuries caused by certain medical interventions to treat gender dysphoria,John Fuller (R),"JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MAY 13, 2025","MAY 13, 2025",state-mt-2025-sb218
INTRODUCED,Texas,HB 497,Relating to requiring parental consent for behavioral or mental health treatment by school district personnel.,"Jared Patterson (R),Carrie Isaac (R),David Spiller (R)",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 13, 2025","MAY 13, 2025",state-tx-89r-hb497
INTRODUCED,Texas,HB 1655,Relating to a policy prohibiting public school employees from assisting a student with social transitioning; authorizing a civil penalty; authorizing injunctive relief.,"Nate Schatzline (R),Cody Harris (R),Brad Buckley (R),+2 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 13, 2025","MAY 13, 2025",state-tx-89r-hb1655
SIGNED BY GOVERNOR,Oklahoma,SB 658,Oklahoma Children's Code; prohibiting certain actions by the Department of Human Services in relation to adoptive and foster parents. Effective date.,"Julie Daniels (R),Denise Crosswhite Hader (R)","HEALTH AND HUMAN SERVICES, CHILDREN, YOUTH AND FAMILY SERVICES, HEALTH AND HUMAN SERVICES OVERSIGHT","2025 REGULAR SESSION
LATEST ACTION: MAY 13, 2025","MAY 13, 2025",state-ok-2025-sb658
SIGNED BY GOVERNOR,Arizona,HB 2112,internet pornography; minors; age verification,"Nick Kupper (R),Walt Blackman (R),Michael Carbone (R),+9 sponsors","RULES, JUDICIARY, RULES, JUDICIARY AND ELECTIONS","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 13, 2025","MAY 13, 2025",state-az-57th_1stregular-hb2112
INTRODUCED,Missouri,HB 236,Establishes provisions relating to civil liability for publishing or distributing material harmful to minors on the internet,"Sherri Gallick (R),Brad Banderman (R),Melissa Schmidt (R),+13 sponsors","CHILDREN AND FAMILIES, RULES - ADMINISTRATIVE","2025 REGULAR SESSION
LATEST ACTION: MAY 12, 2025","MAY 12, 2025",state-mo-2025-hb236
INTRODUCED,North Carolina,HB 560,Parents Protection Act.,"Donnie Loftis (R),Neal Jackson (R),Brian Biggs (R),+14 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, HEALTH, JUDICIARY 2","2025-2026 SESSION
LATEST ACTION: MAY 12, 2025","MAY 12, 2025",state-nc-2025-hb560
VETOED,Arizona,SB 1586,gender transition procedures; provider liability,"Janae Shamp (R),Hildy Angius (R),Shawnna Bolick (R),+8 sponsors","RULES, RULES, GOVERNMENT, REGULATORY AFFAIRS AND GOVERNMENT EFFICIENCY","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 12, 2025","MAY 12, 2025",state-az-57th_1stregular-sb1586
VETOED,Arizona,SB 1003,public schools; restrooms; reasonable accommodations,John Kavanagh (R),"RULES, RULES, EDUCATION, GOVERNMENT, REGULATORY OVERSIGHT, EDUCATION-ARCHIVED AND RENAMED EDUCATION AND TRANSPORTATION AS OF 04/01/2025","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 12, 2025","MAY 12, 2025",state-az-57th_1stregular-sb1003
VETOED,Arizona,SB 1002,pronouns; biological sex; school policies,John Kavanagh (R),"RULES, RULES, EDUCATION, GOVERNMENT, REGULATORY OVERSIGHT, EDUCATION-ARCHIVED AND RENAMED EDUCATION AND TRANSPORTATION AS OF 04/01/2025","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 12, 2025","MAY 12, 2025",state-az-57th_1stregular-sb1002
INTRODUCED,Texas,HB 778,Relating to required health benefit plan coverage for gender transition adverse effects and reversals.,"Jeff Leach (R),Helen Kerwin (R),Hillary Hickland (R),+13 sponsors",INSURANCE,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 10, 2025","MAY 10, 2025",state-tx-89r-hb778
INTRODUCED,Texas,HB 437,Relating to the placement of children in a detention or correctional facility according to biological sex.,"Valoree Swanson (R),Richard Hayes (R),Carrie Isaac (R),+4 sponsors",S/C ON JUVENILE JUSTICE BY SPEAKER,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 10, 2025","MAY 10, 2025",state-tx-89r-hb437
INTRODUCED,Texas,HB 4552,Relating to a prohibition on certain discriminatory activities by governmental entities and vendors of governmental entities; providing for declaratory and injunctive relief and the withholding of certain funds from political subdivisions.,"Stan Gerdes (R),Carl Tepper (R),Will Metcalf (R),+2 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MAY 9, 2025","MAY 9, 2025",state-tx-89r-hb4552
INTRODUCED,Michigan,HB 4468,Insurance: health insurers; coverage for adverse consequences related to gender transition and reversal of gender transition; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406ww.,"Tom Kunse (R),Pat Outman (R),Angela Rigas (R),+12 sponsors",HEALTH POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 8, 2025","MAY 8, 2025",state-mi-2025_2026-hb4468
INTRODUCED,Michigan,HB 4467,Health: other; gender reassignment procedures or treatment for minors; prohibit. Creates new act.,"Brad Paquette (R),Pat Outman (R),Angela Rigas (R),+13 sponsors",HEALTH POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 8, 2025","MAY 8, 2025",state-mi-2025_2026-hb4467
SIGNED BY GOVERNOR,Georgia,SB 185,Correctional Institutions of State and Counties; use of state funds or resources for certain treatments for state inmates; prohibit,"Randy Robertson (R),Steve Gooch (R),John Albers (R),+18 sponsors","PUBLIC SAFETY, PUBLIC AND COMMUNITY HEALTH","2025-2026 REGULAR SESSION
LATEST ACTION: MAY 8, 2025","MAY 8, 2025",state-ga-2025_26-sb185
INTRODUCED,Ohio,HB 249,Enact the Indecent Exposure Modernization Act,"Angie King (R),Josh Williams (R),Jim Hoops (R),+41 sponsors",JUDICIARY,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MAY 7, 2025","MAY 7, 2025",state-oh-136-hb249
PASSED LOWER,North Carolina,HB 606,Civil Procedure Amendment.,"Jonathan Almond (R),Dean Arp (R),Dennis Riddell (R),+5 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, RULES AND OPERATIONS OF THE SENATE, STATE AND LOCAL GOVERNMENT, JUDICIARY 2","2025-2026 SESSION
LATEST ACTION: MAY 7, 2025","MAY 7, 2025",state-nc-2025-hb606
PASSED LOWER,North Carolina,HB 519,Parents' Medical Bill of Rights.,"Jennifer Balkcom (R),Donnie Loftis (R),Brian Biggs (R),+30 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, HEALTH, RULES AND OPERATIONS OF THE SENATE, JUDICIARY 2","2025-2026 SESSION
LATEST ACTION: MAY 7, 2025","MAY 7, 2025",state-nc-2025-hb519
INTRODUCED,Michigan,SB 291,Insurance: health insurers; coverage for adverse consequences related to gender transition and reversal of gender transition; require. Amends 1956 PA 218 (MCL 500.100 - 500.8302) by adding sec. 3406ww.,"Jonathan Lindsey (R),Thomas Albert (R),Kevin Daley (R),+4 sponsors",GOVERNMENT OPERATIONS,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 7, 2025","MAY 7, 2025",state-mi-2025_2026-sb291
INTRODUCED,Michigan,SB 289,Health: other; gender reassignment procedures or treatment for minors; prohibit. Creates new act.,"Thomas Albert (R),Kevin Daley (R),Ed McBroom (R),+5 sponsors",GOVERNMENT OPERATIONS,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 7, 2025","MAY 7, 2025",state-mi-2025_2026-sb289
INTRODUCED,Alabama,HB 246,"Public schools, colleges, and universities; immunity provided to students and teachers who decline to use certain pronouns or names",Scott Stadthagen (R),(NO COMMITTEE),"2025 REGULAR SESSION
LATEST ACTION: MAY 6, 2025","MAY 6, 2025",state-al-2025rs-hb246
INTRODUCED,South Carolina,H 4515,Birth Certificates,"Steven Long (R),Bruce Bannister (R),Travis Moore (R),+10 sponsors",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: MAY 6, 2025","MAY 6, 2025",state-sc-2025_2026-h4515
BECAME LAW,Indiana,SB 442,Instruction on human sexuality.,"Gary Byrne (R),Jeff Raatz (R),Mike Young (R),+3 sponsors","EDUCATION AND CAREER DEVELOPMENT, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: MAY 6, 2025","MAY 6, 2025",state-in-2025-sb442
INTRODUCED,Arkansas,SB 164,TO AUTHORIZE A PUBLIC SCHOOL TO EMPLOY OR ACCEPT AS A VOLUNTEER A CHAPLAIN.,"Jim Dotson (R),Hope Duke (R)",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-ar-2025-sb164
PASSED LOWER,Arkansas,HB 1684,TO CREATE THE PARENTS AND TEACHERS HELPING STUDENTS SUCCEED (PATHS) ACT.,"Mindy McAlindon (R),Dan Sullivan (R)","EDUCATION, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-ar-2025-hb1684
BECAME LAW,Montana,HB 655,Prohibit discriminatory action against persons providing adoption or foster care services,Greg Oblander (R),"JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-mt-2025-hb655
BECAME LAW,Montana,HB 471,Revise education laws related to human sexuality and identity instruction,Jedediah Hinkle (R),"EDUCATION AND CULTURAL RESOURCES, JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-mt-2025-hb471
INTRODUCED,Missouri,HJR 54,Proposes a constitutional amendment establishing provisions relating to reproductive health care,"Melanie Stinnett (R),Alex Riley (R),Jamie Ray Gragg (R),+1 sponsor","CHILDREN AND FAMILIES, LEGISLATIVE REVIEW, RULES - ADMINISTRATIVE","2025 REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-mo-2025-hjr54
INTRODUCED,Illinois,HB 4027,INTERSCHOLASTIC ATHLETICS-TEAM,"Tom Weber (R),Blaine Wilhour (R),Regan Deering (R),+7 sponsors",RULES,"104TH REGULAR SESSION
LATEST ACTION: MAY 5, 2025","MAY 5, 2025",state-il-104th-hb4027
PASSED UPPER,Texas,SB 619,Relating to protection of persons from participation in a health care service for reasons of conscience; providing a civil remedy; authorizing disciplinary action.,"Kevin Sparks (R),King,Donna Campbell (R),+5 sponsors","HEALTH & HUMAN SERVICES, PUBLIC HEALTH","89TH LEGISLATURE (2025)
LATEST ACTION: MAY 2, 2025","MAY 2, 2025",state-tx-89r-sb619
VETOED,Arizona,SB 1443,parental rights; compensatory damages,"Carine Werner (R),Hildy Angius (R),Shawnna Bolick (R),+13 sponsors","RULES, JUDICIARY, RULES, HEALTH AND HUMAN SERVICES","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 2, 2025","MAY 2, 2025",state-az-57th_1stregular-sb1443
VETOED,Arizona,HB 2438,birth certificates; amendments; prohibition,"Rachel Keshel (R),Leo Biasiucci (R),Joseph Chaplik (R),+12 sponsors","RULES, JUDICIARY, RULES, HEALTH AND HUMAN SERVICES","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: MAY 2, 2025","MAY 2, 2025",state-az-57th_1stregular-hb2438
PASSED LOWER,Alabama,HB 244,"Public K-12 education, discussions of gender identity prohibited in grades preK-12, employees prohibited from displaying flags or insignia relating to sexual orientation or gender identity, employees prohibited from referring to student by pronouns inconsistent with student's biological sex",Butler (M),EDUCATION POLICY,"2025 REGULAR SESSION
LATEST ACTION: MAY 1, 2025","MAY 1, 2025",state-al-2025rs-hb244
PASSED LOWER,Alabama,HB 67,"Parental rights, prohibits public K-12 schools and public libraries from presenting or sponsoring drag performances in certain circumstances and state entities from allowing minors to share facilities with members of the opposite sex in certain circumstances during overnight programs",Scott Stadthagen (R),COUNTY AND MUNICIPAL GOVERNMENT,"2025 REGULAR SESSION
LATEST ACTION: APRIL 29, 2025","APRIL 29, 2025",state-al-2025rs-hb67
SIGNED BY GOVERNOR,Tennessee,SB 955,"Health Care - As enacted, enacts the ""Medical Ethics Defense Act."" - Amends TCA Title 63.",Ferrell Haile (R),"HEALTH AND WELFARE, CALENDAR","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 29, 2025","APRIL 29, 2025",state-tn-114-sb955
INTRODUCED,Tennessee,HB 1044,"Health Care - As enacted, enacts the ""Medical Ethics Defense Act."" - Amends TCA Title 63.",Bryan Terry (R),"HEALTH, CALENDAR & RULES","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 29, 2025","APRIL 29, 2025",state-tn-114-hb1044
PASSED UPPER,Texas,SB 240,Relating to the designation and use of certain spaces and facilities according to biological sex; authorizing a civil penalty and a private civil right of action.,"Mayes Middleton (R),Kevin Sparks (R),Bob Hall (R),+5 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 28, 2025","APRIL 28, 2025",state-tx-89r-sb240
INTRODUCED,Texas,HB 1088,Relating to the statute of limitations on a health care liability claim involving certain gender modification drugs provided to and procedures performed on a minor.,"Shelby Slawson (R),Jeff Leach (R),Brooks Landgraf (R),+19 sponsors",JUDICIARY & CIVIL JURISPRUDENCE,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 28, 2025","APRIL 28, 2025",state-tx-89r-hb1088
PASSED LOWER,North Carolina,HB 636,Promoting Wholesome Content for Students.,"Neal Jackson (R),Brian Biggs (R),David Willis (R),+13 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE, EDUCATION - K-12, RULES AND OPERATIONS OF THE SENATE, JUDICIARY 1","2025-2026 SESSION
LATEST ACTION: APRIL 28, 2025","APRIL 28, 2025",state-nc-2025-hb636
SIGNED BY GOVERNOR,North Dakota,SB 2380,"AN ACT to create and enact a new section to chapter 51-07 of the North Dakota Century Code, relating to a commercial entity's liability for publishing or distributing sexual material harmful to a minor; to provide a penalty; and to provide for application.","Keith Boehm (R),Todd Beard (R),Larry Klemin (R),+3 sponsors","JUDICIARY, INDUSTRY AND BUSINESS","69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: APRIL 26, 2025","APRIL 26, 2025",state-nd-69-sb2380
SIGNED BY GOVERNOR,North Dakota,HB 1181,"AN ACT to amend and reenact section 1-01-34 of the North Dakota Century Code, relating to gender usage in the North Dakota Century Code.","SuAnn Olson (R),Karen Anderson (R),Jose Castaneda (R),+6 sponsors","EDUCATION, HUMAN SERVICES","69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: APRIL 25, 2025","APRIL 25, 2025",state-nd-69-hb1181
INTRODUCED,Rhode Island,HB 5842,AN ACT RELATING TO EDUCATION -- FAIRNESS IN WOMEN'S SPORTS ACT,"Sherry Roberts (R),Paul Santucci (R),Bob Quattrocchi (R),+1 sponsor",EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: APRIL 23, 2025","APRIL 23, 2025",state-ri-2025-hb5842
INTRODUCED,Minnesota,HF 3151,"Gender-affirming medical care and certain counseling for minors prohibited in the state of Minnesota, and penalties for violations established.","Shane Mekeland (R),Walter Hudson (R),Cal Warwas (R),+5 sponsors",HEALTH FINANCE AND POLICY,"2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 23, 2025","APRIL 23, 2025",state-mn-2025_2026-hf3151
SIGNED BY GOVERNOR,Arkansas,SB 444,TO AMEND THE MEDICAL ETHICS AND DIVERSITY ACT.,"Kim Hammer (R),Lee Johnson (R)","PUBLIC HEALTH, WELFARE AND LABOR, PUBLIC HEALTH, WELFARE AND LABOR","2025 REGULAR SESSION
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-ar-2025-sb444
SIGNED BY GOVERNOR,Arkansas,HB 1916,TO AMEND THE PROTECTING MINORS FROM MEDICAL MALPRACTICE ACT OF 2023; AND TO INCLUDE GENDER-AFFIRMING INTERVENTIONS AS A RIGHT OF ACTION FOR MEDICAL MALPRACTICE.,"Mary Bentley (R),Alan Clark (R)","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-ar-2025-hb1916
PASSED UPPER,Texas,SB 112,Relating to parental rights in public education.,Bob Hall (R),"PUBLIC EDUCATION, EDUCATION K-16","89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-tx-89r-sb112
PASSED LOWER,Oklahoma,HB 1275,Social media; social network; parents and guardians; permission; verification.,"Chad Caldwell (R),Ally Seifried (R)","GOVERNMENT MODERNIZATION AND TECHNOLOGY, TECHNOLOGY AND TELECOMMUNICATIONS, COMMERCE AND ECONOMIC DEVELOPMENT OVERSIGHT","2025 REGULAR SESSION
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-ok-2025-hb1275
INTRODUCED,Massachusetts,H 737,An Act relative to defending the autonomy and integrity of student athletes and coaches,"Marcus Vaughn (R),David DeCoste (R),Steve Xiarhos (R)",EDUCATION,"194TH LEGISLATURE (2025-2026)
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-ma-194th-h737
